Id,Nombre,id_local,x,y
449,RESTAURANTE CERVECERIA NUEVA YORK,270537675,448031.52,4469040.42
450,VALENTINA,270379122,441697.58,4473123.52
451,BAR AJERO,200001128,446946.56,4475617.45
452,BAR ZAYAS ME DA IGUAL,200001335,447006.56,4475494.45
453,ALAMBIQUE,270171790,445356.57,4476272.47
454,101 MONTADITOS,40001823,443732.58,4477100.49
455,CAFE MARIANA,285005425,441788.58,4472163.51
456,LA EMBAJADA,270298536,450659.57,4479093.39
457,BAR  CASA CELEIRO,200000350,448460.56,4475823.42
458,URBAN CAFE BAR,270542365,443986.56,4472371.48
459,BAR RESTAURANTE RISOL,270135846,438975.61,4475796.54
460,VINATEROS 28,270200950,444227.57,4473520.48
461,LA ZALAMERA,90000756,439777.61,4477627.54
462,LA TARBENA DE ORTEGA,270331756,,
463,BAR,270080654,442847.58,4475699.5
464,EL PESCADOR,270080507,442929.58,4475692.5
465,RESTAURANTE DO?A LAMBRA,20001970,442353.57,4471523.51
466,CHESS CAFE,20000528,440037.59,4472806.53
467,CAFETERIA BARRIO,270380410,440068.59,4472750.53
